try-1-otel-collector-1  | 2022-05-02T08:45:22.794Z	INFO	loggingexporter/logging_exporter.go:56	MetricsExporter	{"#metrics": 8}
try-1-otel-collector-1  | 2022-05-02T08:45:22.794Z	DEBUG	loggingexporter/logging_exporter.go:66	ResourceMetrics #0
try-1-otel-collector-1  | Resource labels:
try-1-otel-collector-1  |      -> container.id: STRING(2)
try-1-otel-collector-1  |      -> host.name: STRING(Traefik3)
try-1-otel-collector-1  |      -> os.description: STRING(Ubuntu 21.04 (Hirsute Hippo) (Linux Traefik3 5.11.0-49-generic #55-Ubuntu SMP Wed Jan 12 17:36:34 UTC 2022 x86_64))
try-1-otel-collector-1  |      -> os.type: STRING(linux)
try-1-otel-collector-1  |      -> process.command_args: ARRAY([/tmp/GoLand/___traefik_OTEL_docker, --log.level=DEBUG, --api.insecure=true, --entrypoints.web.address=:8001, --providers.docker, --tracing.openTelemetry.insecure=true, --tracing.openTelemetry.http=true, --metrics.openTelemetry.insecure=true])
try-1-otel-collector-1  |      -> process.executable.name: STRING(___traefik_OTEL_docker)
try-1-otel-collector-1  |      -> process.executable.path: STRING(/tmp/GoLand/___traefik_OTEL_docker)
try-1-otel-collector-1  |      -> process.owner: STRING(tm)
try-1-otel-collector-1  |      -> process.pid: INT(270763)
try-1-otel-collector-1  |      -> process.runtime.description: STRING(go version go1.17.8 linux/amd64)
try-1-otel-collector-1  |      -> process.runtime.name: STRING(go)
try-1-otel-collector-1  |      -> process.runtime.version: STRING(go1.17.8)
try-1-otel-collector-1  |      -> telemetry.sdk.language: STRING(go)
try-1-otel-collector-1  |      -> telemetry.sdk.name: STRING(opentelemetry)
try-1-otel-collector-1  |      -> telemetry.sdk.version: STRING(1.6.3)
try-1-otel-collector-1  | InstrumentationLibraryMetrics #0
try-1-otel-collector-1  | InstrumentationLibrary github.com/traefik/traefik dev
try-1-otel-collector-1  | Metric #0
try-1-otel-collector-1  | Descriptor:
try-1-otel-collector-1  |      -> Name: traefik_service_open_connections
try-1-otel-collector-1  |      -> Description: How many open connections exist on a service, partitioned by method and protocol.
try-1-otel-collector-1  |      -> Unit: 1
try-1-otel-collector-1  |      -> DataType: Gauge
try-1-otel-collector-1  | NumberDataPoints #0
try-1-otel-collector-1  | Data point attributes:
try-1-otel-collector-1  |      -> GET: STRING(protocol)
try-1-otel-collector-1  |      -> method: STRING(protocol)
try-1-otel-collector-1  |      -> service: STRING(service)
try-1-otel-collector-1  |      -> whoami@docker: STRING(method)
try-1-otel-collector-1  | StartTimestamp: 1970-01-01 00:00:00 +0000 UTC
try-1-otel-collector-1  | Timestamp: 2022-05-02 08:45:14.930785455 +0000 UTC
try-1-otel-collector-1  | Value: -1.000000
try-1-otel-collector-1  | Metric #1
try-1-otel-collector-1  | Descriptor:
try-1-otel-collector-1  |      -> Name: traefik_service_request_duration_seconds
try-1-otel-collector-1  |      -> Description: How long it took to process the request on a service, partitioned by status code, protocol, and method.
try-1-otel-collector-1  |      -> Unit: ms
try-1-otel-collector-1  |      -> DataType: Histogram
try-1-otel-collector-1  |      -> AggregationTemporality: AGGREGATION_TEMPORALITY_CUMULATIVE
try-1-otel-collector-1  | HistogramDataPoints #0
try-1-otel-collector-1  | Data point attributes:
